category,elevation,aspect,slope,horizontal_distance_to_hydrology,vertical_distance_to_hydrology,horizontal_distance_to_roadways,hillshade_9am,hillshade_noon
Douglas-fir,2123,262,41,725,178,1409,82,224
Krummholz,3872,349,17,874,-93,375,19,38
Spruce/Fir,3097,141,59,856,112,4669,148,34
Lodgepole_Pine,1945,164,18,681,-19,4492,124,250
Ponderosa_Pine,1170,255,48,647,264,3602,138,41
Cottonwood/Willow,1837,164,28,75,185,4821,165,3
Aspen,3777,338,24,300,76,2107,217,205
Douglas-fir,1651,284,9,940,80,530,217,26
Krummholz,1475,222,10,642,192,4385,191,70
Spruce/Fir,3720,251,20,101,191,3600,85,182
Lodgepole_Pine,1584,22,40,389,270,2311,97,131
Ponderosa_Pine,2545,221,59,32,26,6865,228,57
Cottonwood/Willow,3162,126,31,137,79,3683,110,94
Aspen,3059,316,17,871,131,6240,234,252
Douglas-fir,1941,47,50,992,229,2405,236,21
Krummholz,2812,360,42,349,109,229,103,185
Spruce/Fir,1263,353,21,528,273,2155,28,199
Lodgepole_Pine,3878,280,6,92,300,3844,127,92
Ponderosa_Pine,3612,16,60,324,-83,5194,183,137
Cottonwood/Willow,2735,87,45,474,49,6351,58,159
Aspen,1499,302,31,757,252,445,173,120
Douglas-fir,2645,153,32,903,77,2726,200,140
Krummholz,2268,112,38,207,11,1814,125,117
Spruce/Fir,2907,223,34,140,170,566,59,228
Lodgepole_Pine,1154,159,44,30,-89,128,181,198
Ponderosa_Pine,2616,134,21,591,6,3493,39,213
Cottonwood/Willow,1609,89,55,444,108,3263,249,139
Aspen,2600,248,54,634,273,3560,108,109
Douglas-fir,1080,252,53,503,266,6338,220,108
Krummholz,1767,169,33,193,140,345,43,191
Spruce/Fir,3069,202,42,851,280,2589,44,85
Lodgepole_Pine,2504,77,13,894,54,849,184,48
Ponderosa_Pine,1138,94,12,330,198,5081,150,57
Cottonwood/Willow,3240,116,29,574,282,237,235,138
Aspen,2059,264,17,564,201,3579,91,237
Douglas-fir,1915,185,44,941,175,1932,117,249
Krummholz,2090,166,14,226,70,668,31,159
Spruce/Fir,2992,345,55,80,10,6983,193,91
Lodgepole_Pine,1233,247,16,357,-4,1293,132,105
Ponderosa_Pine,3428,144,26,835,-50,6396,195,139
Cottonwood/Willow,2241,258,10,798,184,1566,219,69
Aspen,1675,29,44,308,18,6629,175,77
Douglas-fir,2748,126,11,826,221,4702,58,160
Krummholz,1582,30,56,119,170,848,248,194
Spruce/Fir,1402,122,46,945,177,1316,201,151
Lodgepole_Pine,2113,83,48,798,136,3010,163,65
Ponderosa_Pine,3741,56,26,143,36,1193,131,133
Cottonwood/Willow,3229,285,12,108,-29,5152,15,221
Aspen,2083,205,1,856,136,882,45,211
Douglas-fir,2264,304,52,146,30,4506,49,36
Krummholz,2630,98,25,337,16,1934,40,213
Spruce/Fir,1415,259,41,815,-17,2415,99,210
Lodgepole_Pine,1237,241,51,157,-58,6712,36,241
Ponderosa_Pine,2632,187,5,790,188,832,157,231
Cottonwood/Willow,2673,350,53,564,-35,2652,84,155
Aspen,2944,95,40,219,200,216,83,154
Douglas-fir,2198,48,35,900,253,202,107,212
Krummholz,3617,6,48,182,24,1305,20,17
Spruce/Fir,1700,270,20,744,90,21,224,184
Lodgepole_Pine,2834,289,4,734,295,3943,96,168
Ponderosa_Pine,1533,76,56,498,62,172,81,201
Cottonwood/Willow,3782,93,13,77,-99,4524,211,91
Aspen,1658,44,9,76,-9,5515,52,37
Douglas-fir,3763,349,27,85,176,2455,191,233
Krummholz,1350,327,17,43,-77,18,223,200
Spruce/Fir,1120,109,18,408,209,3043,140,155
Lodgepole_Pine,1674,151,15,451,160,1904,177,129
Ponderosa_Pine,3878,259,14,311,167,6374,68,176
Cottonwood/Willow,3993,225,54,453,181,16,152,205
Aspen,3680,296,56,526,99,5440,255,59
Douglas-fir,3803,3,15,947,-17,1308,232,23
Krummholz,1659,294,55,864,36,4655,143,225
Spruce/Fir,1876,86,53,749,71,3884,167,130
Lodgepole_Pine,1194,95,15,95,170,4318,127,195
Ponderosa_Pine,3399,233,48,158,-71,1916,24,38
Cottonwood/Willow,3504,292,37,657,250,5719,159,250
Aspen,1297,171,23,117,213,1610,98,3
Douglas-fir,1006,130,33,348,-74,6627,28,91
Krummholz,2669,156,32,748,-97,2219,70,116
Spruce/Fir,1021,49,37,240,59,1229,80,174
Lodgepole_Pine,1862,110,34,308,250,490,74,214
Ponderosa_Pine,1818,32,6,171,-71,4844,94,169
Cottonwood/Willow,2594,222,26,435,51,6832,227,156
Aspen,3077,177,32,431,42,928,16,49
Douglas-fir,3543,112,45,747,-95,747,108,97
Krummholz,2846,217,19,835,55,1181,133,164
Spruce/Fir,2610,266,47,70,59,683,230,15
Lodgepole_Pine,2947,200,11,801,195,2494,213,178
Ponderosa_Pine,2452,147,17,301,161,808,243,241
Cottonwood/Willow,2205,329,8,10,151,4958,189,169
Aspen,3506,69,16,128,80,5322,180,155
Douglas-fir,1820,343,31,30,-44,5114,42,184
Krummholz,2169,168,2,7,-20,1259,47,117
Spruce/Fir,3430,95,12,197,274,3968,67,176
Lodgepole_Pine,1215,84,24,871,176,2235,250,190
Ponderosa_Pine,1670,254,35,346,238,3515,37,226
Cottonwood/Willow,2790,205,45,148,20,6815,9,230
Aspen,3247,279,35,189,209,5253,220,115
Douglas-fir,2815,56,38,565,171,5687,113,53
Krummholz,3912,72,10,413,210,5917,8,178
Spruce/Fir,1608,298,46,858,255,6027,91,228
Lodgepole_Pine,2623,228,49,267,6,1979,172,38
Ponderosa_Pine,2724,356,7,330,228,77,210,165
Cottonwood/Willow,3390,181,46,612,241,4660,234,61
Aspen,3204,46,9,174,167,5311,41,119
Douglas-fir,2677,11,46,203,175,3045,44,33
Krummholz,1831,265,22,427,70,1476,37,206
Spruce/Fir,2732,340,46,597,197,2423,222,134
Lodgepole_Pine,3366,105,45,315,232,5014,49,131
Ponderosa_Pine,2370,351,35,212,-28,1952,79,225
Cottonwood/Willow,1327,236,55,978,112,6025,18,203
Aspen,2379,75,50,696,266,6124,146,54
Douglas-fir,1561,144,19,265,28,1786,225,142
Krummholz,1812,221,28,566,143,6737,172,223
Spruce/Fir,3122,352,56,270,-32,1276,33,160
Lodgepole_Pine,3990,294,27,388,254,3671,143,238
Ponderosa_Pine,1126,232,51,559,229,4467,125,234
Cottonwood/Willow,2126,339,10,701,293,275,237,61
Aspen,3124,164,2,297,241,3531,79,222
Douglas-fir,2917,123,12,71,235,669,187,148
Krummholz,3822,36,50,90,134,731,118,128
Spruce/Fir,1385,156,23,772,93,2851,49,230
Lodgepole_Pine,2059,316,44,829,-90,5778,241,38
Ponderosa_Pine,1951,107,50,141,228,4055,42,182
Cottonwood/Willow,3292,167,49,497,-15,3176,52,141
Aspen,2783,31,24,425,20,3665,46,226
Douglas-fir,1257,201,28,788,-7,638,22,92
Krummholz,3289,303,49,99,213,2700,1,90
Spruce/Fir,2865,33,14,583,22,3837,161,74
Lodgepole_Pine,2747,192,2,809,249,6237,9,25
Ponderosa_Pine,3266,261,2,807,31,1108,135,163
Cottonwood/Willow,2139,6,3,161,53,2487,45,182
Aspen,1360,77,8,637,74,2757,99,219
Douglas-fir,2410,49,10,813,267,5786,28,21
Krummholz,3668,120,53,214,126,199,141,247
Spruce/Fir,3093,305,11,718,87,3674,194,200
Lodgepole_Pine,1289,264,50,405,214,3017,130,208
Ponderosa_Pine,2059,287,22,147,140,3944,214,59
Cottonwood/Willow,3980,74,24,897,-59,301,53,102
Aspen,1936,155,14,978,192,4425,218,95
Douglas-fir,1170,335,35,586,83,4703,19,219
Krummholz,2221,108,36,507,73,3272,74,238
Spruce/Fir,2150,9,12,982,292,197,101,152
Lodgepole_Pine,3311,232,54,382,-61,4136,11,16
Ponderosa_Pine,2171,329,13,330,289,6758,31,23
Cottonwood/Willow,1322,354,49,860,-56,361,246,137
Aspen,3283,186,15,28,100,4596,207,255
Douglas-fir,2948,20,6,652,279,2314,26,105
Krummholz,2769,99,11,132,49,5375,247,143
Spruce/Fir,2170,148,42,954,250,4389,7,107
Lodgepole_Pine,3455,106,29,830,-40,4431,234,114
Ponderosa_Pine,1481,179,45,282,257,5267,97,231
Cottonwood/Willow,1189,359,44,262,55,4682,254,76
Aspen,2368,279,50,845,221,4382,123,46
Douglas-fir,3180,193,30,371,299,2295,2,55
Krummholz,2058,233,25,148,-84,4386,103,211
Spruce/Fir,3891,52,59,327,61,3023,116,209
Lodgepole_Pine,3162,357,58,204,95,5295,87,64
Ponderosa_Pine,3084,38,49,611,-25,2003,145,183
Cottonwood/Willow,1635,94,2,886,-61,252,5,214
Aspen,3253,327,26,46,59,2716,27,178
Douglas-fir,2872,250,53,175,90,936,117,163
Krummholz,2895,208,60,837,-35,1231,122,142
Spruce/Fir,2617,310,53,577,188,3060,147,135
Lodgepole_Pine,1615,343,22,642,227,5967,43,228
Ponderosa_Pine,1774,333,60,180,202,5899,28,34
Cottonwood/Willow,1140,57,38,687,-94,2267,119,3
Aspen,2930,349,8,885,-33,1538,199,90
Douglas-fir,2657,154,23,414,106,3524,54,239
Krummholz,2216,50,31,613,115,52,6,46
Spruce/Fir,1611,101,5,710,300,2053,197,122
Lodgepole_Pine,1710,307,17,984,-3,6468,136,14
Ponderosa_Pine,2732,198,23,384,31,2757,197,243
Cottonwood/Willow,1786,50,8,212,157,2349,216,205
Aspen,2407,270,54,418,-86,5613,133,188
Douglas-fir,1636,97,46,653,131,6549,13,21
Krummholz,3928,74,10,547,281,3445,171,39
Spruce/Fir,1981,175,33,451,-9,5348,203,162
Lodgepole_Pine,1763,6,21,371,8,6655,246,214
Ponderosa_Pine,2732,46,38,151,60,4087,29,111
Cottonwood/Willow,1841,17,39,372,262,5265,161,56
Aspen,1701,46,16,917,43,3924,50,154
Douglas-fir,3947,17,5,922,-96,4269,12,37
Krummholz,1158,124,5,919,77,6121,175,103
Spruce/Fir,3373,163,15,825,104,4350,103,64
Lodgepole_Pine,2148,214,52,314,293,111,79,203
Ponderosa_Pine,3981,207,50,340,122,5124,84,63
Cottonwood/Willow,2023,150,8,601,-50,1549,104,181
Aspen,2281,173,32,825,5,6766,179,120
Douglas-fir,2156,236,27,348,193,6325,165,85
Krummholz,2426,345,41,167,-89,3730,43,82
Spruce/Fir,3173,16,52,152,-52,2452,251,27
Lodgepole_Pine,2436,24,29,647,-68,3695,15,88
Ponderosa_Pine,2475,175,40,804,-32,1905,9,85
Cottonwood/Willow,2103,334,2,68,161,1520,199,212
Aspen,3971,60,11,140,140,3372,83,65
Douglas-fir,3677,46,41,302,215,402,66,154
Krummholz,1811,196,22,819,215,6181,31,50
Spruce/Fir,2862,215,32,10,106,1988,149,229
Lodgepole_Pine,1269,336,9,997,18,5056,33,174
Ponderosa_Pine,2956,331,15,641,80,2367,36,55
Cottonwood/Willow,2811,341,12,394,140,4644,62,84
Aspen,3903,251,37,369,224,4601,65,134
Douglas-fir,1534,262,24,207,-40,1363,219,107
Krummholz,3308,322,43,859,260,1601,160,73
Spruce/Fir,1306,319,6,640,190,2137,13,105
Lodgepole_Pine,3383,239,9,823,61,2551,23,132
Ponderosa_Pine,2294,349,42,2,281,684,67,137
Cottonwood/Willow,3169,328,44,351,98,1365,219,3
Aspen,3257,28,17,446,-5,4373,81,238
Douglas-fir,2460,310,54,551,131,305,32,137
Krummholz,1085,42,22,986,-91,5831,247,114
Spruce/Fir,1373,101,25,647,-98,4191,205,165
Lodgepole_Pine,2512,82,14,58,-63,4118,217,211
Ponderosa_Pine,2793,34,23,18,5,377,83,137
Cottonwood/Willow,1270,350,34,973,88,6178,207,245
Aspen,3942,128,17,639,-61,5323,137,236
Douglas-fir,1287,155,10,973,165,1679,112,119
Krummholz,3915,29,60,100,92,3088,232,43
Spruce/Fir,3782,131,52,571,-37,5644,171,165
Lodgepole_Pine,1732,71,1,713,20,120,42,209
Ponderosa_Pine,2840,334,18,694,149,4548,59,230
Cottonwood/Willow,3325,145,54,70,33,6416,97,139
Aspen,3794,191,34,8,246,1811,71,205
Douglas-fir,3675,222,5,133,-37,1662,211,156
Krummholz,2887,146,14,925,56,5898,144,181
Spruce/Fir,2743,336,21,228,138,5024,209,90
Lodgepole_Pine,3164,57,60,232,36,2726,36,141
Ponderosa_Pine,3337,87,8,822,10,3778,250,213
Cottonwood/Willow,1431,5,46,542,-41,2399,31,144
Aspen,2340,95,60,409,150,5616,199,189
Douglas-fir,2823,11,45,960,-46,3759,246,68
Krummholz,2111,88,17,395,108,1201,141,236
Spruce/Fir,2234,130,43,768,20,2246,234,183
Lodgepole_Pine,3648,293,23,665,113,5539,31,72
Ponderosa_Pine,3758,110,6,113,223,973,119,212
Cottonwood/Willow,3666,192,1,429,111,3082,178,166
Aspen,1207,172,40,281,26,6455,182,1
Douglas-fir,2556,347,30,407,53,1531,238,193
Krummholz,1545,278,47,147,148,3966,152,247
Spruce/Fir,2819,265,60,880,100,306,191,143
Lodgepole_Pine,2981,246,55,228,-16,1504,30,129
Ponderosa_Pine,2192,176,32,216,-43,2433,5,191
Cottonwood/Willow,3038,242,17,646,261,4482,194,190
Aspen,1592,50,45,416,207,3339,249,34
Douglas-fir,3607,269,23,773,86,4000,83,148
Krummholz,2936,45,4,527,172,4501,176,222
Spruce/Fir,3072,319,30,999,264,3727,194,237
Lodgepole_Pine,2380,175,16,12,27,403,126,223
Ponderosa_Pine,2477,357,20,78,125,1572,21,10
Cottonwood/Willow,2092,41,36,54,-93,4903,34,187
Aspen,2417,90,29,639,-99,4976,60,123
Douglas-fir,3426,147,15,458,219,1851,203,13
Krummholz,1834,110,54,453,-99,1544,183,68
Spruce/Fir,3581,88,58,242,101,138,35,158
Lodgepole_Pine,2145,110,2,808,178,5860,70,106
Ponderosa_Pine,3685,339,34,22,92,5222,18,21
Cottonwood/Willow,1146,152,21,438,-94,3367,41,208
Aspen,2524,300,15,298,-40,722,187,139
Douglas-fir,2963,88,24,62,175,5578,160,19
Krummholz,1891,79,22,449,-48,5146,83,67
Spruce/Fir,3102,141,23,234,104,1237,222,99
Lodgepole_Pine,2804,234,53,150,279,5661,179,209
Ponderosa_Pine,2610,287,25,936,72,6301,237,8
Cottonwood/Willow,1006,125,9,866,152,607,210,156
Aspen,3990,174,21,338,108,1929,56,62
Douglas-fir,2845,321,9,223,131,428,95,240
Krummholz,1492,344,58,781,-73,4833,147,146
Spruce/Fir,3504,202,46,11,28,3382,34,20
Lodgepole_Pine,3184,123,57,517,101,4253,126,124
Ponderosa_Pine,1775,62,56,5,-70,6447,242,214
Cottonwood/Willow,2288,133,19,820,201,1153,208,155
Aspen,3892,49,54,101,239,1106,100,246
Douglas-fir,2682,121,5,881,48,3735,59,208
Krummholz,3453,101,40,830,22,1711,96,134
Spruce/Fir,2760,246,55,992,-87,4715,38,49
Lodgepole_Pine,2730,296,48,336,165,5174,97,34
Ponderosa_Pine,3302,234,35,54,189,1154,66,113
Cottonwood/Willow,1417,249,28,269,-75,6378,154,182
Aspen,3497,137,39,25,74,6139,126,218
Douglas-fir,1483,173,5,914,-55,3379,45,35
Krummholz,1767,320,13,355,-33,2893,191,107
Spruce/Fir,2492,345,31,748,185,2413,195,134
Lodgepole_Pine,3246,332,9,595,144,3796,230,167
Ponderosa_Pine,1187,263,51,180,15,4414,152,100
Cottonwood/Willow,1066,324,45,158,166,4009,75,120
Aspen,2856,256,19,550,134,1938,154,94
Douglas-fir,1002,320,13,358,126,6683,111,126
Krummholz,2326,286,42,339,218,40,169,79
Spruce/Fir,3806,117,44,908,197,785,107,9
Lodgepole_Pine,2008,317,41,10,211,3914,123,207
Ponderosa_Pine,3326,295,39,405,31,4174,23,11
Cottonwood/Willow,1871,206,9,376,11,1536,104,38
Aspen,3439,242,19,910,192,2874,16,2
Douglas-fir,1937,175,20,836,253,4677,65,187
Krummholz,2705,71,50,916,-9,3483,144,194
Spruce/Fir,1208,173,31,121,64,190,67,216
Lodgepole_Pine,2986,213,40,755,239,4465,48,80
Ponderosa_Pine,3414,42,32,834,254,5683,231,30
Cottonwood/Willow,1467,188,40,327,214,5987,16,27
Aspen,1129,95,58,630,43,5414,220,172
Douglas-fir,3326,51,59,535,190,1299,74,41
Krummholz,2454,306,20,171,-14,2674,105,17
Spruce/Fir,2016,313,47,840,-85,1664,185,14
Lodgepole_Pine,2466,90,24,493,35,321,18,84
Ponderosa_Pine,3471,107,20,711,283,389,246,153
Cottonwood/Willow,3888,179,35,656,123,6052,76,141
Aspen,3465,350,13,291,242,2526,143,167
Douglas-fir,2803,308,39,996,149,6885,101,102
Krummholz,2066,94,56,964,186,5273,166,110
Spruce/Fir,1468,92,24,324,84,3194,227,146
Lodgepole_Pine,1074,122,37,640,274,3489,44,9
Ponderosa_Pine,2435,230,42,735,113,6421,180,99
Cottonwood/Willow,2149,198,38,37,188,4041,102,96
Aspen,2110,19,6,191,6,3213,157,100
Douglas-fir,2754,258,19,381,283,209,208,137
Krummholz,3404,315,43,577,110,5432,252,29
Spruce/Fir,1437,323,42,125,101,667,75,117
Lodgepole_Pine,3261,1,4,350,-82,3714,175,151
Ponderosa_Pine,3337,14,45,827,48,188,186,75
Cottonwood/Willow,3185,10,27,33,129,3385,102,252
Aspen,1380,10,10,478,180,4777,105,71
Douglas-fir,2480,212,34,926,21,215,57,165
Krummholz,1861,192,11,216,38,1865,148,223
Spruce/Fir,1609,76,44,164,-10,5013,206,226
Lodgepole_Pine,2770,124,5,781,-50,3296,59,197
Ponderosa_Pine,2960,126,1,84,194,1924,198,183
Cottonwood/Willow,1920,122,22,157,147,6677,29,92
Aspen,2310,29,30,247,285,4991,189,63
Douglas-fir,3924,233,52,250,-19,6661,27,243
Krummholz,3376,226,33,743,-4,6582,135,245
Spruce/Fir,1429,190,46,982,-77,4417,246,113
Lodgepole_Pine,3550,167,48,826,185,2191,109,7
Ponderosa_Pine,3698,197,23,412,-53,2017,217,167
Cottonwood/Willow,2946,296,3,909,284,5541,166,190
Aspen,3049,66,6,926,190,681,42,219
Douglas-fir,2388,150,57,756,237,790,249,120
Krummholz,2918,276,53,618,-25,2621,255,34
Spruce/Fir,3008,296,11,721,164,5362,65,175
Lodgepole_Pine,3633,71,2,197,115,65,10,18
Ponderosa_Pine,3646,156,19,948,-45,1016,122,110
Cottonwood/Willow,3840,53,6,86,167,6067,217,176
Aspen,1583,85,3,352,36,1345,33,67
Douglas-fir,3386,212,39,346,161,808,73,173
Krummholz,3837,254,27,255,-93,2541,80,22
Spruce/Fir,2533,12,25,619,279,1013,211,69
Lodgepole_Pine,1886,214,36,188,190,1640,168,69
Ponderosa_Pine,3274,20,21,240,33,4210,246,182
Cottonwood/Willow,3602,306,36,460,281,3942,39,54
Aspen,3350,178,3,400,146,5873,91,64
Douglas-fir,3767,150,30,472,56,5262,28,127
Krummholz,1576,202,42,681,280,5893,246,226
Spruce/Fir,3845,19,51,2,260,5203,207,196
Lodgepole_Pine,3001,238,56,565,35,5917,44,225
Ponderosa_Pine,3742,306,5,224,3,2273,19,182
Cottonwood/Willow,3455,264,20,401,119,210,222,31
Aspen,1478,151,60,915,-98,5820,171,60
Douglas-fir,3894,22,6,452,149,1189,16,146
Krummholz,1529,127,11,877,-24,786,169,13
Spruce/Fir,2354,212,9,229,142,4987,73,8
Lodgepole_Pine,1747,139,34,83,214,6352,151,49
Ponderosa_Pine,1654,335,59,52,-82,606,183,67
Cottonwood/Willow,1860,49,48,457,126,443,139,140
Aspen,1614,201,57,714,65,6358,11,185
Douglas-fir,1371,258,19,211,260,4593,39,151
Krummholz,3839,325,34,615,129,2740,162,86
Spruce/Fir,1448,229,54,795,40,6566,162,194
Lodgepole_Pine,3807,255,37,165,106,5097,57,9
Ponderosa_Pine,2850,256,34,833,139,42,28,112
Cottonwood/Willow,3967,214,59,438,-57,1104,155,71
Aspen,3385,81,48,665,72,5204,5,126
Douglas-fir,2741,228,56,730,271,6668,186,221
Krummholz,2108,176,54,488,20,2238,140,144
Spruce/Fir,2528,119,7,639,159,357,221,40
Lodgepole_Pine,1033,90,48,614,253,3536,236,240
Ponderosa_Pine,2181,74,28,601,-37,3581,143,112
Cottonwood/Willow,1196,318,7,358,-63,1290,28,54
Aspen,2776,273,41,534,112,3931,232,30
Douglas-fir,1779,226,44,649,144,879,31,156
Krummholz,2298,137,45,655,170,6731,54,125
Spruce/Fir,3549,17,39,542,248,910,83,116
Lodgepole_Pine,2200,114,13,317,55,5079,154,23
Ponderosa_Pine,3093,318,41,519,275,6695,60,43
Cottonwood/Willow,1354,77,38,3,95,521,196,84
Aspen,1890,93,44,871,166,1149,93,80
Douglas-fir,3914,85,39,624,73,5261,76,30
Krummholz,3573,209,6,263,191,5218,8,248
Spruce/Fir,2639,92,33,485,-95,4377,17,147
Lodgepole_Pine,3632,204,48,717,-49,2771,6,247
Ponderosa_Pine,2199,173,45,228,187,1972,40,77
Cottonwood/Willow,2252,344,30,219,98,6994,167,38
Aspen,3049,126,10,774,-49,1957,204,95
Douglas-fir,2080,110,37,975,-28,1941,107,136
Krummholz,1280,114,3,389,78,2648,141,8
Spruce/Fir,3547,153,30,328,-25,3892,162,15
Lodgepole_Pine,3554,56,43,578,203,5513,82,224
Ponderosa_Pine,2964,310,26,726,276,3577,35,178
Cottonwood/Willow,1364,260,56,259,15,1138,83,216
Aspen,2500,138,38,709,97,2712,83,77
Douglas-fir,1667,69,34,589,91,6086,31,53
Krummholz,1451,77,52,856,245,2806,45,24
Spruce/Fir,1019,331,27,772,-99,1184,106,81
Lodgepole_Pine,2958,255,15,977,26,1471,160,25
Ponderosa_Pine,1988,264,26,257,-91,2585,201,66
Cottonwood/Willow,3467,2,22,255,16,5157,196,215
Aspen,3250,131,15,58,161,3227,76,1
Douglas-fir,2792,97,6,137,170,583,38,111
Krummholz,1715,104,28,812,-80,1338,112,170
Spruce/Fir,3253,76,16,797,130,6590,143,154
Lodgepole_Pine,1672,200,21,191,130,2971,116,130
Ponderosa_Pine,2467,98,2,98,255,3150,61,22
Cottonwood/Willow,1240,215,51,241,125,5305,198,88
Aspen,1126,139,13,525,271,5799,222,53
Douglas-fir,3883,199,4,474,191,2310,206,8
Krummholz,2289,56,9,679,-20,525,249,129
Spruce/Fir,2500,25,55,244,65,4520,158,71
Lodgepole_Pine,3162,69,4,118,53,2471,116,252
Ponderosa_Pine,2721,135,55,776,52,881,197,93
Cottonwood/Willow,2624,116,60,932,137,4299,157,89
Aspen,3660,186,17,706,174,5113,13,24
Douglas-fir,2470,150,36,541,35,1315,138,57
Krummholz,2187,124,26,31,-46,6505,200,242
Spruce/Fir,2313,342,55,385,98,3938,218,44
Lodgepole_Pine,2166,91,40,345,164,6370,146,116
Ponderosa_Pine,1701,324,14,618,105,1639,254,107
Cottonwood/Willow,2736,163,3,454,64,3733,186,131
Aspen,2134,172,53,312,-23,5689,151,227
Douglas-fir,2159,50,7,824,32,5483,99,78
Krummholz,2499,322,41,875,83,5750,54,46
Spruce/Fir,1609,77,45,875,285,233,154,78
Lodgepole_Pine,1702,213,6,1000,205,396,161,28
Ponderosa_Pine,1690,166,28,108,79,3762,246,244
Cottonwood/Willow,2231,210,6,906,-20,1840,222,26
Aspen,3366,332,4,361,-30,6980,121,63
Douglas-fir,2646,278,10,684,-85,2159,75,68
Krummholz,3102,93,46,339,-31,2452,38,159
Spruce/Fir,2896,154,31,158,257,2666,88,141
Lodgepole_Pine,1566,289,13,16,254,5959,249,39
Ponderosa_Pine,1254,344,12,363,163,1302,52,72
Cottonwood/Willow,3621,11,60,125,241,4643,243,212
Aspen,1965,60,42,699,232,5593,27,27
Douglas-fir,1369,172,60,339,-1,1669,20,84
Krummholz,3066,50,57,195,-72,1737,225,178
Spruce/Fir,2000,112,32,743,-40,5378,7,87
Lodgepole_Pine,2432,329,29,100,203,596,157,218
Ponderosa_Pine,2182,350,40,103,-8,2227,37,96
Cottonwood/Willow,3455,348,50,196,285,3177,223,75
Aspen,2405,329,16,593,21,4713,220,165
Douglas-fir,2256,289,31,551,47,1626,40,6
Krummholz,3840,344,49,554,-28,3563,230,125
Spruce/Fir,1302,191,54,449,45,3762,201,100
Lodgepole_Pine,3051,289,53,287,270,2305,225,16
Ponderosa_Pine,1123,76,29,569,179,5081,151,178
Cottonwood/Willow,2971,181,4,948,-49,2992,253,21
Aspen,3459,336,32,249,1,3189,76,118
Douglas-fir,2523,334,16,835,199,3174,7,191
Krummholz,2751,52,37,281,170,73,37,19
Spruce/Fir,1720,66,32,115,92,2667,94,18
Lodgepole_Pine,1218,281,21,955,117,6162,105,150
Ponderosa_Pine,2076,49,3,643,122,964,228,54
Cottonwood/Willow,3090,217,50,456,107,2196,105,95
Aspen,2985,60,12,887,102,3925,162,88
Douglas-fir,2185,145,32,854,13,6061,123,70
Krummholz,1762,95,27,138,149,3775,43,181
Spruce/Fir,1529,52,55,659,259,3624,70,149
Lodgepole_Pine,3198,271,14,579,222,3677,41,101
Ponderosa_Pine,3137,346,25,808,267,6584,101,136
Cottonwood/Willow,2641,270,3,100,18,4912,36,135
Aspen,1567,255,21,808,241,45,8,74
Douglas-fir,2491,283,46,583,118,3800,81,124
Krummholz,3403,290,12,263,288,5865,219,90
Spruce/Fir,1554,99,23,993,-47,1415,195,11
Lodgepole_Pine,1986,7,5,363,289,3688,176,84
Ponderosa_Pine,3496,47,2,125,-35,4016,247,117
Cottonwood/Willow,1469,213,10,46,106,6736,116,137
Aspen,3577,43,39,636,71,5694,191,5
Douglas-fir,1114,326,59,837,247,507,167,249
Krummholz,2640,310,29,659,-25,2967,255,224
Spruce/Fir,3246,104,29,157,259,401,251,138
Lodgepole_Pine,2224,120,16,843,212,6230,43,188
Ponderosa_Pine,3495,248,32,881,67,6445,138,17
Cottonwood/Willow,3026,7,4,700,42,4523,163,208
Aspen,3100,337,5,549,275,3423,92,231
Douglas-fir,1360,6,32,166,133,2752,238,101
